Animal_ID	Adrenals.Adrenals_g	Bioch.Albumin	Bioch.ALP	Bioch.ALAT	Bioch.Amylase	Bioch.ASAT	Bioch.Calcium	Bioch.Chloride	Bioch.CreatinineEnzymatic	Bioch.FreeFattyAcid	Bioch.Glucose	Bioch.Glycerol	Bioch.HDL	Bioch.Iron	Bioch.LDH	Bioch.LDL	Bioch.Phosphorous	Bioch.Potassium	Bioch.Sodium	Bioch.Tot.Billirubin	Bioch.Tot.Cholesterol	Bioch.Tot.Protein	Bioch.Triglycerides	Bioch.Urea	FACS.CD3pos	FACS.CD45posCD3posCD4pos	FACS.CD45posCD3posCD8pos	FACS.CD45posCD3negCD19pos	FACS.CD45posCD3negDX5pos	FACS.CD3posCD4pos	FACS.CD3posCD8pos	FACS.CD3posCD4CD8Ratio	FACS.CD3posCD4posCD44pos	FACS.CD3posCD8posCD44pos	FACS.CD3posCD44posCD4CD8Ratio	FACS.CD3posCD44negCD4CD8Ratio	Haem.WBCP	Haem.WBCB	Haem.RBC	Haem.measHGB	Haem.HCT	Haem.MCV	Haem.MCH	Haem.MCHC	Haem.CHCM	Haem.RDW	Haem.HDW	Haem.MPV	Haem.PDW	Haem.PCT	Haem.NEUT_percent	Haem.LYM_percent	Haem.MONO_percent	Haem.EOS_percent	Haem.LUC_percent	Haem.BASO_percent	Haem.abs_neuts	Haem.abs_lymphs	Haem.abs_mono	Haem.abs_eos	Haem.abs_lucs	Haem.abs_basos	Haem.PLT	Haem.Large_PLT	Hypoxia.MV_Baseline	Hypoxia.MV_AHR	Hypoxia.MV_HVD	Hypoxia.MV_Undershoot	Hypoxia.MV_Off_response	Hypoxia.MV_SHR	Hypoxia.MV_NR	Hypoxia.f_Baseline	Hypoxia.f_AHR	Hypoxia.f_HVD	Hypoxia.f_Undershoot	Hypoxia.f_Off_response	Hypoxia.f_SHR	Hypoxia.f_NR	Hypoxia.TV_Baseline	Hypoxia.TV_AHR	Hypoxia.TV_HVD	Hypoxia.TV_Undershoot	Hypoxia.TV_Off_response	Hypoxia.TV_SHR	Hypoxia.TV_NR	Muscles.TA.g	Muscles.EDL.g	Muscles.Gast.g	Muscles.Plant.g	Muscles.Sol.g	Tibia.Length	BMC.Mode	BMC.Median	BMC.Mean	BMC.Area	BMC.StdDev	BMC.Min	BMC.Max	BMC.Perim	BMC.Width	BMC.Height	BMC.Skew	BMC.Kurt	BMC.Mode.N	BMC.Median.N	BMC.Mean.N	BMC.StdDev.N	BMC.Min.N	BMC.Max.N	BMC.Skew.N	BMC.Kurt.N	PST.Immobility.First2min	PST.Immobility.Last4min	Weight.Startle	Weight.Hypo	Weight.ECG	Weight.Diss	Weight.Average	Weight.BMI.body	Weight.BMI.tibia	WH.Ears_Area	Cardio.ECG.Heart_Rate	Cardio.ECG.PR_main	Cardio.ECG.PR_peak	Cardio.ECG.P_Duration	Cardio.ECG.QRS_main	Cardio.ECG.QRS_peak	Cardio.ECG.QT_main	Cardio.ECG.QTcorr_main	Cardio.ECG.QTcorr_peak	Cardio.ECG.JT_Interval	Cardio.ECG.Tpeak_Tend	Diss.Body.Length	Diss.Tail.Length	Diss.Brain.Weight	EPM.ClosedArms.Distance	EPM.ClosedArms.Entries	EPM.ClosedArms.Time	EPM.OpenArms.Distance	EPM.OpenArms.Entries	EPM.OpenArms.Time	EPM.Total.Distance	FC.Training.Baseline	FC.Cue.Baseline	FC.Training.UnconditionedFreeze	FC.Training.UnconditionedFreeze.Corrected	FC.Context.Freeze	FC.Context.Freeze.Corrected	FC.Cue.MeanFreeze	FC.Cue.MeanFreeze.Corrected	Micronucleus.Mn.NCE	Neo.Latency	Neuro.Ki67	Neuro.DCX	OFT.Boli	OFT.Centre.Time	OFT.Centre.Distance	OFT.Centre.Entries	OFT.Arena.Distance	OFT.Periphery.Time	OFT.Periphery.Distance	OFT.Open.Time	OFT.Open.Distance	PAS.First5	PAS.Last10	PAS.Total_Activity	Serotonin.Serotonin_nM	Sleep.s24h	Sleep.s12h_L	Sleep.s12h_D	Sleep.sDif_LD	Sleep.VAR	Sleep.Percent_wake_over_17min	Sleep.Max_wake_episode.h	Sleep.short_sleep	Sleep.long_sleep	Sleep.long_sleep.percent_total	Sleep.longest_sleep.min	Sleep.VAR_1h	Sleep.VAR_12hL	Sleep.VAR_12hD	Sleep.VAR_24h	Sleep.sleep_L_onset	Sleep.sleep_D_onset	Sleep.T_max	Sleep.Ampl	SPPI.ln_pa	SPPI.ln_pb	SPPI.ln_pc	SPPI.Habituation	SPPI.ppReactivity	SPPI.pReactivity	SPPI.pc_average_pA	SPPI.pc_average_pB	SPPI.pc_average_pC	SPPI.pc_average_ABC	SPPI.slope_pA	SPPI.slope_pB	SPPI.slope_pC	SPPI.slpPPI_average
Q_CFW-SW/100.0a	0.00335	28.3	109.7	42.8	731.7	73.5	2.33	112	9.7	0.97	8.91	250.5	2.46	28.5	466.2	0.61	1.7	4.96	148	3.4	3.34	56.1	1.32	9.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65	1.72	9.87	14.4	0.479	48.6	14.6	30.1	29.2	15.2	2.33	8	54.9	1.3	16.8	76.7	1.9	4.4	0.1	0.1	0.29	1.32	0.03	0.07	0	0	1614	20	318.7602057	165.1161935	207.2836943	193.3969276	151.2294268	-42.16750084	141.6907031	469.4208812	-96.23630397	125.9441914	309.7675956	87.58710023	-222.1804953	115.507637	0.715024722	0.592062867	0.185621853	-0.041030676	0.365410339	0.406441015	0.263845509	0.076	0.0172	0.188	0.0239	0.0114	19.38	161	174	176.314	13.733	25.96	113	247	30.002	12.85	2.65	0.318	-0.452	161	174	176.314	25.96	113	247	0.318	-0.452	NA	NA	45.8	45.9	47.1	41.6	44.4333333333333	0.377324263038549	0.11076072382133	1.445	596.1	38.22	36	NA	10	5	35.31	35.2	30.21	25.31	NA	10.5	9.5	0.464	1184.38	23	215.44	0	0	0	1461.64	5.388888889	2.3333333	9	3.611111111	4.433333333	-0.955555556	28.66666667	26.33333337	0.2073705	17	91	69	NA	5.68	78.48	6	2458.54	277.04	2127.31	22.96	331.23	252	84	148.166666666667	10739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.698829785	5.349485653	5.367376902	0.053123536	0.115636322	1.195822234	51.18443316	52.99920446	10.09532739	38.09298834	0.501611208	0.448889107	0.10397653	0.351492282
Q_CFW-SW/100.0b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q_CFW-SW/100.0c	0.00265	25.1	92.9	36.7	586.5	68.6	2.23	114	8.5	0.69	10.55	177.2	2.59	34	419.7	0.74	1.28	5.32	147	3	3.62	52.6	1.56	8.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.47	2.43	9.7	13.5	0.485	50	13.9	27.8	29	17.2	2.41	7.6	53.6	1.51	26.1	67.4	2.9	3.4	0.1	0.1	0.63	1.63	0.07	0.08	0	0	1980	19	242.1932266	181.9809077	117.0784779	125.0403858	189.9428155	64.90242978	125.0634078	233.4981279	115.8985776	75.25892485	62.59036935	103.2300221	40.6396527	147.8519633	1.119612767	0.260368095	0.223420594	0.435418413	0.472365914	0.036947501	0.14263019	0.0607	0.0143	0.1581	0.0189	0.008	18.85	163	164	162.841	12.488	32.013	41	247	29.463	12.45	2.6	-0.34	0.914	163	164	162.841	32.013	41	247	-0.34	0.914	NA	NA	39.6	40.7	42.4	36.5	38.9333333333333	0.365	0.102723582097953	NA	559.6	36.49	36	NA	9.63	4.63	34.96	33.76	28.93	25.32	21.96	10	10	0.394	994.79	25	220.4	76.37	1	14.48	1313.43	19.44444444	16.6666667	44.33333333	24.88888889	32.53333333	13.08888889	57	40.3333333	0.226154051	5	95	75	0	4.88	46.81	2	2158.67	269.2	1869.5	30.8	289.17	160	60.5	77.3333333333333	13482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.624668592	4.561218298	4.93375425	-0.154163026	0.131707881	1.229299883	-23.4375	-2.217529039	2.948996858	-7.568677394	0.101576556	0.169784061	0.057329644	0.109563421
Q_CFW-SW/100.0d	0.0023	26.4	121.4	56.1	666.8	67.1	2.39	113	8	0.57	12.94	128.6	2.39	38.6	437.8	0.51	1.38	4.33	150	2.2	3.12	52.8	1	7.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.53	1.82	9.02	12.8	0.442	49	14.2	28.9	28.1	17.2	2.48	7.4	55.8	0.98	15.1	80.2	1.9	2.5	0.2	0.1	0.27	1.46	0.03	0.05	0	0	1324	12	233.8488983	182.1691897	136.9115317	138.0322035	183.2898615	45.25765795	124.6383052	319.3070624	90.80761142	179.1368455	184.7673021	96.43806803	-88.32923406	142.8666152	0.791943406	0.63702046	0.191120227	0.154911168	0.600811402	0.445900234	0.161713611	0.064	0.0147	0.1489	0.0191	0.0084	18.37	250	194	196.194	11.212	32.486	121	255	27.968	12.1	2.5	0.034	-0.916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.8	38.3	39.5	36.1	37.4	0.361	0.106976624274092	1.874	441.7	40.2	39	24.12	9.86	4.86	41.72	35.8	31.51	31.86	28.72	10	9.5	0.437	964.14	18	232.72	0	0	0	1167.1	7.944444444	15.6666667	56.33333333	48.38888889	11.4	3.455555556	21	5.3333333	0.225155622	360	73	61	2	2.64	27.38	2	1437.75	287.52	1375.44	12.48	62.31	116	98	114.333333333333	10920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.380994674	4.279440046	4.411585437	1.462223123	0.105376724	1.020820322	-4.694835681	-28.417603	-29.4021294	-20.83818936	0.448106752	0.05796675	0.131918564	0.212664022
Q_CFW-SW/100.0e	0.0032	25.5	159.7	56.1	610.2	108.9	2.27	113	8.5	0.78	11.37	212.8	2.64	45.5	606.7	0.6	1.18	4.6	149	4.1	3.55	51.8	1.04	7.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.24	4.24	9.64	14.6	0.475	49.3	15.2	30.7	29.4	14.1	2.11	7.6	51.8	0.96	14.9	74.7	6.7	3.1	0.4	0.2	0.63	3.17	0.28	0.13	0.02	0.01	1261	11	227.0637545	206.1512403	178.3414868	85.33593473	113.1456882	27.80975344	123.3645923	379.7513337	12.94432588	168.1400541	217.5568635	62.36113535	-155.1957282	97.7384311	0.64849156	0.618786133	0.110285185	-0.153816951	0.354683997	0.508500948	0.235669281	0.0711	0.0149	0.1562	0.0192	0.0097	18.74	182	174	170.518	13.572	36.755	30	246	29.487	12.5	2.9	-0.866	1.188	182	174	170.518	36.755	30	246	-0.866	1.188	NA	NA	43.3	43.7	42.5	36.6	41.2	0.366	0.104217802678682	0.9945	530.4	32.19	30	22.47	11.14	6.09	41.78	39.29	34.54	30.64	27.53	10	9.5	0.488	1506.07	24	227.6	29.58	4	6.56	1839.88	0.166666667	9.1666667	0.333333333	0.166666666	1.666666667	1.5	10	0.8333333	0.176879564	5	84	78	1	1.68	17.71	2	2252.19	291.76	2160.7	8.24	91.49	104	97.5	118.5	6882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.341805806	4.010962953	4.889596966	-0.041851639	-0.079325055	1.041570497	27.30496454	56.51906519	53.44958302	45.75787092	0.252228252	0.46599265	0.470379614	0.396200172
Q_CFW-SW/100.0f	0.0033	25.9	151.4	54.7	847.8	65.7	2.5	110	9	0.64	13.07	211.4	3.09	39.7	692.7	0.86	2.04	4.46	149	2.4	4.29	55.2	1.15	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.68	6.98	10.42	15.1	0.503	48.3	14.5	30	29.7	15.3	2.36	8	56	1.11	14.2	80.9	1.6	2.6	0.6	0.1	0.99	5.65	0.11	0.18	0.04	0.01	1395	24	224.4198946	174.1261913	121.4477482	129.3996055	182.0780486	52.67844308	95.13813772	313.3290676	76.3732283	94.4093117	162.6119601	144.5758767	-18.0360834	171.8609743	0.795127751	0.404595626	0.238840263	0.244978682	0.410734045	0.165755363	0.101194858	0.0704	0.0156	0.1679	0.0197	0.0133	19.52	182	179	182.794	12.668	31.708	112	255	29.502	12.65	2.35	0.457	-0.592	182	179	182.794	31.708	112	255	0.457	-0.592	NA	NA	53.2	52.8	54.3	46.8	50.9333333333333	0.386776859504132	0.122824845471647	1.462	503.1	NA	NA	NA	9.56	4.56	40.42	37.01	32.43	30.86	28.23	11	10.5	0.41	1099.51	15	210.88	107.63	5	21.84	1472.79	4.944444444	1.1666667	28.33333333	23.38888889	2.133333333	-2.811111111	30.66666667	29.49999997	0.215564848	15	NA	NA	5	2.8	36.78	3	2233.57	289.28	2092.47	10.72	141.1	189	115	131.666666666667	12529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.465735903	5.646506407	6.016401032	-0.11942246	0.047860265	1.350784453	32.68817204	26.92171449	2.965860018	20.85858218	0.356645106	0.265280401	0.061022404	0.227649304
Q_CFW-SW/100.0g	0.00285	24	128.6	54.1	644.3	108.5	2.29	112	7.5	0.57	11.77	156.6	2.43	41.1	610.5	0.54	1.64	4.84	148	4	3.19	49.4	0.81	7.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.87	2.16	9.29	13.9	0.455	49	15	30.7	29.4	15.6	2.16	6.8	55	0.67	10.3	82.8	1.5	5	0.2	0.2	0.22	1.79	0.03	0.11	0.01	0	990	6	261.6847334	120.9883772	188.2216932	166.4483743	99.21505834	-67.23331598	132.6113607	327.0081982	-7.085698417	102.7934846	195.1040177	85.22483475	-109.879183	154.2388922	0.838254718	0.463103132	0.389250275	0.155867006	0.229719863	0.073852857	0.150379006	0.0719	0.0151	0.1561	0.0222	0.0107	18.65	182	179	178.758	13.565	30.724	55	252	28.946	12.15	3.05	-0.341	0.063	182	179	178.758	30.724	55	252	-0.341	0.063	NA	NA	39.7	40.7	42.5	37.3	39.2333333333333	0.373	0.107238605898123	1.6915	580	36.71	34	NA	9.39	4.39	33.45	32.89	27.97	24.06	21.45	10	9	0.461	1052.32	21	255.52	0.54	3	0.4	1199.14	2.333333333	11.6666667	37.33333333	35	35.03333333	32.7	82	70.3333333	0.210015523	16	85	135	2	0	0	0	1933.87	299.92	1933.74	0.08	0.13	183	112	151.833333333333	12284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.277144733	3.681351188	4.645351976	0.617133118	0.345658352	0.854569815	45.22875817	32.98880276	69.60879405	49.27545166	0.368718977	0.431884392	0.545525449	0.448709606
Q_CFW-SW/100.0h	0.00265	26.6	142	60.1	587.4	132.8	2.4	113	9.8	0.64	7.09	158.5	2.41	28.9	757.4	0.57	1.45	4.86	150	3.1	3.16	52.5	0.56	6.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.35	3.59	9.4	13.8	0.467	49.6	14.7	29.7	28.9	15.6	2.13	7.6	53.2	1.09	11.8	82.7	2.4	2.3	0.6	0.2	0.42	2.97	0.09	0.08	0.02	0.01	1444	13	266.1109071	125.5073189	126.7116359	162.7136589	161.5093419	-1.204317025	152.6396443	368.6414882	-35.65392797	112.9431065	237.5429404	88.94590593	-148.5970344	135.0274637	0.772717308	0.548321925	0.096138464	-0.029242941	0.42294052	0.452183461	0.240469161	0.0706	0.0154	0.1512	0.0217	0.009	19.42	162	173	174.57	13.228	26.355	88	252	29.79	12.85	2.4	0.189	-0.073	162	173	174.57	26.355	88	252	0.189	-0.073	NA	NA	38.8	40.5	41.5	32.7	37.3333333333333	0.327	0.0867060299668767	1.4355	521.4	36.17	36	18.33	9.86	4.86	37.78	35.22	30.56	27.93	24.78	10	10	0.417	1209.89	13	261.2	18.69	2	3.36	1354.29	2.055555556	23.5	2.333333333	0.277777777	6.233333333	4.177777777	18	-5.5	0.236937274	118	109	214	3	0.96	13.62	1	1759.49	294.16	1692.83	5.84	66.66	230	123	145.5	14974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.648658626	3.975936331	3.569532696	1.802914706	-0.092811745	0.792163152	NA	18.4193754	-0.483091787	-22.06356684	-0.052453864	0.122340896	0.039567445	0.036484826
Q_CFW-SW/100.0i	0.0025	24.6	112.7	59.8	515.2	NA	2.27	114	10.5	0.68	8.84	243.9	2.06	NA	NA	0.43	1.65	NA	148	NA	2.7	52.3	0.6	6.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.17	5.1	9.21	13.8	0.458	49.7	15	30.2	29.2	14.2	2.06	7	56.8	0.79	14.6	78.3	3.9	2.4	0.6	0.1	0.75	4	0.2	0.12	0.03	0.01	1131	8	261.3374503	166.6919226	21.75791568	89.9253021	234.859309	144.9340069	84.3051514	271.9753831	156.5838231	79.5881481	51.77863332	128.7743083	76.99567498	77.45048685	1.033021928	0.343778827	0.153408128	0.259809878	0.450180577	0.190370699	0.147586254	0.0826	0.0158	0.1673	0.0215	0.01	18.38	165	165	168.448	12.255	25.748	97	242	28.422	12	3.2	0.403	-0.272	165	165	168.448	25.748	97	242	0.403	-0.272	NA	NA	43	43.5	43.7	38.6	41.7	0.350113378684807	0.114260544827431	1.353	568.4	32.3	32	20.17	9.2	4.15	36.15	35.19	30.28	26.95	23.11	10.5	10	0.428	1078.79	20	173.52	302.19	7	47.6	1760.34	1.055555556	15.1666667	3.666666667	2.611111111	2.3	1.244444444	40	24.8333333	0.186444189	10	NA	NA	3	2.64	24.3	1	2487.28	284.48	2288.66	15.52	198.62	173	75.5	114.666666666667	13232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.041220329	1.704748092	2.282382386	1.748688892	0.23809107	0.242774526	58.20895522	NA	-12.12121212	-6.612727608	0.233215274	0.030553901	0.010536052	0.091435076
Q_CFW-SW/100.0j	0.003	25.8	116.8	39.9	552.4	62.6	2.38	117	9.5	0.57	9.42	177	2.61	33.7	381.5	0.58	1.6	5.27	148	3.1	3.46	53.4	0.83	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.36	1.44	9.74	13.8	0.47	48.3	14.2	29.3	28.9	15.1	2.19	6.9	54.7	1.06	8.9	83.4	2.7	4.8	0.2	0	0.13	1.2	0.04	0.07	0	0	1534	11	281.3733836	149.4926362	148.6826956	119.7087722	120.5187128	0.809940567	85.47518768	458.8387836	-9.1313344	163.7841881	213.8696841	40.95416158	-172.9155225	75.86623998	0.622008454	0.453890321	0.058918297	-0.000717927	0.394254097	0.394972024	0.192483549	0.0634	0.0138	0.1487	0.0185	0.008	19.02	160	161	162.16	11.558	27.379	89	231	28.941	12.3	3	0.073	-0.538	160	161	162.16	27.379	89	231	0.073	-0.538	NA	NA	38.2	38.8	38.2	32	36.3333333333333	0.290249433106576	0.0884563373990077	1.1795	497.4	36.51	34	20.29	9.34	4.34	37.45	34.1	29.55	28.11	25.45	10.5	9.5	0.435	980.68	18	235.6	0	0	0	1168.06	6.055555556	4.6666667	7.666666667	1.611111111	4.1	-1.955555556	29.33333333	24.66666663	0.210244066	18	66	120	4	0.4	1.29	1	1192.88	295.2	1133.76	4.8	59.12	170	135	148.666666666667	15869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.525728644	2.87356464	3.144152279	0.402968558	0.211629777	0.369584809	-16.8115942	-38.92215569	-34.68468468	-30.13947819	-0.004580012	-0.004786892	-0.016841097	-0.008736
